SOURCE_ID,PovertyEBK,geoDA_esti,P_VALUE,ASSOC_CAT
482,86.335602,2,0.628,Not Significant
483,81.669395,2,0.952,Not Significant
484,75.641602,0,0.358,Not Significant
485,91.864311,2,0.566,Not Significant
486,64.242111,0,0.018,Low-Low
487,87.892738,0,0.008,High-Low
488,59.910732,0,0.016,Low-Low
489,87.78167,0,0.006,High-Low
490,98.615089,0,0.002,High-Low
491,74.883011,0,0.256,Not Significant
492,67.326096,0,0.05,Low-Low
493,75.329102,0,0.34,Not Significant
494,83.600739,1,0.138,Not Significant
495,92.181435,0,0.002,High-Low
496,53.405781,0,0.006,Low-Low
497,75.805008,0,0.552,Not Significant
498,72.143639,2,0.202,Not Significant
499,86.563332,0,0.01,High-Low
500,52.667709,0,0.012,Low-Low
501,67.019669,0,0.038,Low-Low
502,72.563858,1,0.838,Not Significant
503,68.59153,0,0.04,Low-Low
504,46.426044,0,0.006,Low-Low
505,64.334732,0,0.026,Low-Low
506,65.703445,0,0.034,Low-Low
507,88.55616,0,0.002,High-Low
508,99.742241,11,0.002,High-High
509,73.264641,0,0.128,Not Significant
510,81.163818,2,0.458,Not Significant
511,98.948891,1,0.004,High-Low
512,67.444878,0,0.054,Low-Low
513,75.535698,0,0.15,Not Significant
514,99.484306,1,0.006,High-Low
515,65.554489,0,0.034,Low-Low
516,56.374889,1,0.07,Low-Low
517,83.421501,0,0.062,High-Low
518,90.782883,0,0.002,High-Low
519,94.246666,1,0.002,High-Low
520,85.804443,2,0.078,High-Low
521,71.582924,1,0.252,Not Significant
522,78.130493,1,0.466,Not Significant
523,90.784584,0,0.002,High-Low
524,77.579277,1,0.932,Not Significant
525,83.9935,0,0.02,High-Low
526,67.922859,1,0.364,Not Significant
527,84.147926,0,0.014,High-Low
528,78.754486,0,0.91,Not Significant
529,90.692947,0,0.004,High-Low
530,98.123062,11,0.002,High-High
531,86.54879,2,0.976,Not Significant
532,90.240974,1,0.006,High-Low
533,70.384956,1,0.364,Not Significant
534,84.716736,0,0.012,High-Low
535,98.009209,1,0.004,High-Low
536,89.219398,0,0.004,High-Low
537,56.843742,0,0.014,Low-Low
538,74.566566,1,0.782,Not Significant
539,51.695244,1,0.028,Low-Low
540,84.046257,0,0.104,Not Significant
541,66.069214,0,0.034,Low-Low
542,93.631508,0,0.002,High-Low
543,100,19,0.002,High-High
544,89.065285,0,0.002,High-Low
545,80.017296,2,0.718,Not Significant
546,66.230675,0,0.03,Low-Low
547,82.352783,1,0.25,Not Significant
548,90.133492,0,0.002,High-Low
549,83.898666,1,0.182,Not Significant
550,81.443367,0,0.616,Not Significant
551,85.522003,1,0.244,Not Significant
552,81.859955,0,0.098,High-Low
553,73.530746,0,0.148,Not Significant
554,100,12,0.002,High-High
555,76.585648,0,0.456,Not Significant
556,80.677307,0,0.43,Not Significant
557,96.746826,2,0.874,Not Significant
558,75.159653,0,0.508,Not Significant
559,56.413246,0,0.014,Low-Low
560,88.854858,1,0.048,High-Low
561,61.721535,0,0.014,Low-Low
562,98.4748,0,0.002,High-Low
563,87.639839,0,0.002,High-Low
564,67.288673,0,0.046,Low-Low
565,77.155159,0,0.846,Not Significant
566,67.066864,0,0.04,Low-Low
567,86.925385,0,0.026,High-Low
568,68.456802,3,0.004,Low-High
569,93.040077,0,0.002,High-Low
570,73.553474,0,0.172,Not Significant
571,99.203003,18,0.002,High-High
572,63.92366,2,0.388,Not Significant
573,92.346352,0,0.002,High-Low
574,99.623672,6,0.002,High-High
575,48.746517,0,0.006,Low-Low
576,82.91095,2,0.952,Not Significant
577,73.046761,2,0.876,Not Significant
578,65.401596,1,0.228,Not Significant
579,63.472137,0,0.03,Low-Low
580,76.943092,1,0.63,Not Significant
581,71.17495,0,0.08,Low-Low
582,83.164192,0,0.084,High-Low
583,77.435921,0,0.68,Not Significant
584,77.98288,0,0.52,Not Significant
585,100,11,0.002,High-High
586,93.75872,0,0.002,High-Low
587,66.892006,1,0.228,Not Significant
588,87.257256,0,0.004,High-Low
589,87.516777,0,0.002,High-Low
590,74.633636,1,0.634,Not Significant
591,89.46637,1,0.018,High-Low
592,92.686188,3,0.012,High-High
593,61.560856,0,0.016,Low-Low
594,77.108841,0,0.616,Not Significant
595,62.021152,1,0.108,Not Significant
596,91.118584,1,0.022,High-Low
597,88.345024,0,0.004,High-Low
598,68.198761,0,0.078,Low-Low
599,82.422218,1,0.256,Not Significant
600,90.371956,1,0.048,High-Low
601,100,19,0.002,High-High
602,82.01339,1,0.278,Not Significant
603,100,11,0.002,High-High
604,72.09523,0,0.224,Not Significant
605,81.119987,1,0.414,Not Significant
606,95.635231,2,0.832,Not Significant
607,70.329597,1,0.32,Not Significant
608,69.587051,0,0.054,Low-Low
609,76.884018,1,0.814,Not Significant
610,87.968941,17,0.002,High-High
611,64.546402,0,0.014,Low-Low
612,85.23909,0,0.018,High-Low
613,91.729889,2,0.964,Not Significant
614,56.414738,1,0.042,Low-Low
615,63.738819,3,0.002,Low-High
616,57.378151,0,0.012,Low-Low
617,71.68042,0,0.146,Not Significant
618,85.3078,0,0.012,High-Low
619,62.348633,0,0.008,Low-Low
620,100,18,0.002,High-High
621,83.510994,0,0.04,High-Low
622,89.62233,1,0.058,High-Low
623,61.384148,0,0.03,Low-Low
624,71.021919,1,0.336,Not Significant
625,70.891052,0,0.068,Low-Low
626,93.800262,0,0.008,High-Low
627,79.080063,0,0.88,Not Significant
628,88.114235,0,0.004,High-Low
629,75.234161,0,0.312,Not Significant
630,68.89489,0,0.058,Low-Low
631,78.628525,1,0.862,Not Significant
632,95.041077,1,0.06,High-Low
633,100,11,0.002,High-High
634,63.728382,0,0.026,Low-Low
635,71.146759,1,0.538,Not Significant
636,83.076233,2,0.986,Not Significant
637,74.179314,0,0.22,Not Significant
638,87.418785,1,0.072,High-Low
639,62.89854,0,0.024,Low-Low
640,70.106384,0,0.084,Low-Low
641,71.312553,0,0.046,Low-Low
642,85.626785,1,0.038,High-Low
643,82.150475,1,0.41,Not Significant
644,81.139313,1,0.45,Not Significant
645,57.45467,1,0.35,Not Significant
646,87.304939,0,0.004,High-Low
647,82.178177,0,0.082,High-Low
648,95.151062,10,0.002,High-High
649,70.893517,3,0.012,Low-High
650,79.157753,1,0.67,Not Significant
651,100,12,0.002,High-High
652,91.203873,0,0.002,High-Low
653,76.922592,1,0.66,Not Significant
654,83.502159,1,0.182,Not Significant
655,89.974495,2,0.606,Not Significant
656,73.914345,1,0.56,Not Significant
657,91.546364,1,0.006,High-Low
658,81.059006,1,0.526,Not Significant
659,79.06694,0,0.868,Not Significant
660,47.837944,1,0.042,Low-Low
661,76.329178,0,0.25,Not Significant
662,89.636917,0,0.002,High-Low
663,81.990776,0,0.144,Not Significant
664,88.671829,2,0.636,Not Significant
665,80.751129,0,0.298,Not Significant
666,91.654091,0,0.004,High-Low
667,99.999535,15,0.002,High-High
668,98.582718,10,0.002,High-High
669,70.0233,0,0.096,Low-Low
670,60.420586,0,0.032,Low-Low
671,91.260101,0,0.002,High-Low
672,76.381889,0,0.442,Not Significant
673,66.096191,0,0.046,Low-Low
674,50.657997,0,0.008,Low-Low
675,95.587509,1,0.006,High-Low
676,86.616844,0,0.004,High-Low
677,82.01136,0,0.162,Not Significant
678,66.521965,0,0.046,Low-Low
679,86.221603,1,0.128,Not Significant
680,62.420761,1,0.064,Low-Low
681,99.798264,18,0.002,High-High
682,60.888569,0,0.012,Low-Low
683,99.939423,19,0.002,High-High
684,56.20752,0,0.006,Low-Low
685,70.687607,0,0.028,Low-Low
686,62.852345,1,0.102,Not Significant
687,63.145458,0,0.054,Low-Low
688,93.774864,2,0.466,Not Significant
689,91.669548,0,0.004,High-Low
690,99.311584,1,0.006,High-Low
691,70.963615,1,0.374,Not Significant
692,67.521797,7,0.002,Low-High
693,76.29142,0,0.424,Not Significant
694,84.59816,1,0.078,High-Low
695,77.158157,1,0.774,Not Significant
696,83.744957,0,0.058,High-Low
697,76.092667,1,0.538,Not Significant
698,82.997581,0,0.05,High-Low
699,73.682922,0,0.134,Not Significant
700,86.222221,0,0.01,High-Low
701,88.132286,0,0.01,High-Low
702,61.566261,0,0.016,Low-Low
703,91.443123,0,0.004,High-Low
704,71.437012,0,0.088,Low-Low
705,73.813026,0,0.148,Not Significant
706,72.129303,0,0.268,Not Significant
707,96.498482,1,0.004,High-Low
708,56.397419,0,0.008,Low-Low
709,91.239861,1,0.016,High-Low
710,92.475212,0,0.004,High-Low
711,64.131935,0,0.024,Low-Low
712,63.179092,0,0.028,Low-Low
713,93.480629,0,0.002,High-Low
714,81.345818,0,0.124,Not Significant
715,99.906815,20,0.002,High-High
716,85.566772,1,0.054,High-Low
717,90.406334,0,0.002,High-Low
718,78.232185,0,0.872,Not Significant
719,100,10,0.002,High-High
720,72.182785,2,0.464,Not Significant
721,86.448494,1,0.062,High-Low
722,75.763596,0,0.346,Not Significant
723,71.885078,0,0.126,Not Significant
724,69.960815,0,0.054,Low-Low
725,92.147644,3,0.016,High-High
726,89.127571,6,0.012,High-High
727,90.543571,0,0.002,High-Low
729,50.304356,0,0.002,Low-Low
730,73.594826,0,0.086,Low-Low
731,87.87027,2,0.41,Not Significant
732,58.901745,0,0.018,Low-Low
733,68.830681,2,0.97,Not Significant
734,100,11,0.002,High-High
735,85.396713,0,0.01,High-Low
736,91.069069,1,0.01,High-Low
737,81.81443,0,0.16,Not Significant
738,100,16,0.002,High-High
739,91.430733,0,0.002,High-Low
740,99.973289,11,0.002,High-High
741,70.816368,0,0.074,Low-Low
742,71.963684,0,0.142,Not Significant
743,79.605644,0,0.738,Not Significant
744,100,11,0.002,High-High
745,91.050415,1,0.022,High-Low
746,75.459816,0,0.34,Not Significant
747,68.564186,1,0.228,Not Significant
748,67.326035,0,0.036,Low-Low
749,92.454201,1,0.008,High-Low
750,100,20,0.002,High-High
751,60.095539,1,0.34,Not Significant
752,100,11,0.002,High-High
753,52.236694,2,0.628,Not Significant
754,100,12,0.002,High-High
755,98.674232,18,0.002,High-High
