OBJECTID,EACODE,SecTer_in_180,LISA_I_secter,LISA_CL_secter,LISA_P_secter,MORAN_STD_secter,MORAN_LAG_secter
162,20908048,0,0.160646977,0,0.079,-0.430346669,-0.373296667
163,20610001,0,0.185198256,2,0.025,-0.430346669,-0.430346669
164,30703010,0,0.148371338,0,0.221,-0.430346669,-0.344771665
165,20403040,0,0.185198256,0,0.053,-0.430346669,-0.430346669
166,20701015,1,0.037573317,0,0.492,-0.173621657,-0.216409159
167,30535011,11,5.729457241,1,0.001,2.393628468,2.393628468
168,20804041,0,0.185198256,2,0.006,-0.430346669,-0.430346669
169,30508030,0,0.185198256,2,0.018,-0.430346669,-0.430346669
170,30703024,1,0.019001224,0,0.339,-0.173621657,-0.109440404
171,31101003,0,0.185198256,2,0.009,-0.430346669,-0.430346669
172,10204902,0,0.185198256,0,0.447,-0.430346669,-0.430346669
173,30107022,0,0.185198256,2,0.026,-0.430346669,-0.430346669
174,31103001,1,0.045002154,0,0.395,-0.173621657,-0.259196661
175,20907008,0,0.185198256,2,0.014,-0.430346669,-0.430346669
176,30105025,1,0.03014448,0,0.493,-0.173621657,-0.173621657
177,10306002,1,0.03014448,0,0.389,-0.173621657,-0.173621657
178,20604013,0,0.185198256,2,0.033,-0.430346669,-0.430346669
179,31202040,0,0.185198256,2,0.032,-0.430346669,-0.430346669
180,20404014,1,0.03014448,0,0.483,-0.173621657,-0.173621657
181,10507029,0,0.185198256,0,0.057,-0.430346669,-0.430346669
182,20606011,0,0.185198256,2,0.006,-0.430346669,-0.430346669
183,20805015,0,0.163102105,0,0.157,-0.430346669,-0.379001667
184,31007039,0,0.137849361,0,0.24,-0.430346669,-0.320321664
185,30403057,1,0.039059084,0,0.486,-0.173621657,-0.224966659
186,10204018,0,0.129957879,0,0.273,-0.430346669,-0.301984163
187,30306052,0,0.185198256,2,0.009,-0.430346669,-0.430346669
188,20103001,0,0.185198256,2,0.023,-0.430346669,-0.430346669
189,20502004,0,0.148371338,0,0.132,-0.430346669,-0.344771665
190,20401039,0,0.185198256,0,0.105,-0.430346669,-0.430346669
191,30305818,0,0.185198256,2,0.007,-0.430346669,-0.430346669
192,20903030,0,0.153632326,0,0.157,-0.430346669,-0.356996666
193,30403073,0,0.137849361,0,0.257,-0.430346669,-0.320321664
194,20504002,0,0.118909803,0,0.311,-0.430346669,-0.276311662
195,30503005,0,0.185198256,2,0.002,-0.430346669,-0.430346669
196,30506052,11,5.641670913,1,0.001,2.393628468,2.356953466
197,30706026,2,0.006906168,0,0.343,0.083103356,0.083103356
198,30505003,0,0.166784797,0,0.11,-0.430346669,-0.387559167
199,20603129,0,0.141005954,0,0.319,-0.430346669,-0.327656664
200,30901115,1,0.047973689,0,0.435,-0.173621657,-0.276311662
201,20615010,1,0.03014448,0,0.491,-0.173621657,-0.173621657
202,30601011,0,0.185198256,0,0.081,-0.430346669,-0.430346669
203,20808001,1,0.036512054,0,0.468,-0.173621657,-0.210296659
204,30208002,0,0.185198256,0,0.304,-0.430346669,-0.430346669
205,20501020,0,0.129957879,0,0.47,-0.430346669,-0.301984163
206,30532005,12,6.480043945,1,0.002,2.65035348,2.44497347
207,30801129,0,0.185198256,2,0.007,-0.430346669,-0.430346669
208,10401030,2,0.006906168,0,0.266,0.083103356,0.083103356
209,10202001,0,0.185198256,0,0.098,-0.430346669,-0.430346669
210,30101036,2,0.006906168,0,0.322,0.083103356,0.083103356
211,20305016,0,0.185198256,2,0.048,-0.430346669,-0.430346669
212,20603054,1,0.022715643,0,0.477,-0.173621657,-0.130834155
213,30902073,0,0.185198256,0,0.175,-0.430346669,-0.430346669
214,30603002,0,0.185198256,0,0.089,-0.430346669,-0.430346669
215,20901013,2,-0.004946449,0,0.481,0.083103356,-0.059521651
216,30901024,0,0.185198256,2,0.03,-0.430346669,-0.430346669
217,30210033,0,0.185198256,2,0.006,-0.430346669,-0.430346669
218,20706017,0,0.166784797,0,0.105,-0.430346669,-0.387559167
